Browse	Procházet
DDE message has been lost.	Zpráva DDE se ztratila.
Paste link already performed.	Vložení odkazu již bylo provedeno.
Link mode cannot be set due to invalid link topic.	Režim odkazu nelze nastavit kvůli neplatnému předmětu odkazu.
DDE requires the DDEML.DLL file.	DDE vyžaduje soubor DDEML.DLL.
Module cannot be loaded; invalid format.	Modul nelze načíst; neplatný formát.
Invalid object index.	Neplatný index objektu.
Object is not available.	Objekt není dostupný.
Incorrect property value.	Nesprávná hodnota vlastnosti.
This property is read-only.	Tato vlastnost je pouze pro čtení.
This property is write only.	Tato vlastnost je pouze pro zápis.
Invalid object reference.	Neplatný odkaz na objekt.
Property or method not found: $(ARG1).	Vlastnost nebo metoda nenalezena: $(ARG1).
Object required.	Požadován objekt.
Invalid use of an object.	Neplatné použití objektu.
OLE Automation is not supported by this object.	Propojení OLE není tímto objektem podporováno.
This property or method is not supported by the object.	Tato vlastnost nebo metoda není objektem podporována.
OLE Automation Error.	Chyba propojení OLE.
This action is not supported by given object.	Tato akce není daným objektem podporována.
Named arguments are not supported by given object.	Pojmenované argumenty nejsou daným objektem podporovány.
The current locale setting is not supported by the given object.	Aktuální národní prostředí není daným objektem podporováno.
Named argument not found.	Pojmenovaný argument nenalezen.
Argument is not optional.	Argument není volitelný.
Invalid number of arguments.	Neplatný počet argumentů.
Object is not a list.	Objekt není seznamem.
Invalid ordinal number.	Neplatné pořadové číslo.
Specified DLL function not found.	Zadaná funkce DLL nenalezena.
Invalid clipboard format.	Neplatný formát schránky.
Object does not have this property.	Objekt nemá tuto vlastnost.
Object does not have this method.	Objekt nemá tuto metodu.
Required argument lacking.	Chybí požadovaný argument.
Error executing a method.	Chyba při vykonávání metody.
Unable to set property.	Nelze nastavit vlastnost.
Unable to determine property.	Nelze zjistit vlastnost.
Unexpected symbol: $(ARG1).	Neočekávaný symbol: $(ARG1).
Expected: $(ARG1).	Očekáváno: $(ARG1).
Symbol expected.	Očekáván symbol.
Variable expected.	Očekávána proměnná.
Label expected.	Očekáváno návěstí.
Value cannot be applied.	Hodnotu nelze použít.
Variable $(ARG1) already defined.	Proměnná $(ARG1) je již definována.
Sub procedure or function procedure $(ARG1) already defined.	Podprocedura nebo funkční procedura $(ARG1) je již definována.
Label $(ARG1) already defined.	Návěstí $(ARG1) je již definováno.
Variable $(ARG1) not found.	Proměnná $(ARG1) nenalezena.
Array or procedure $(ARG1) not found.	Pole nebo procedura $(ARG1) nenalezeny.
Procedure $(ARG1) not found.	Procedura $(ARG1) nenalezena.
Label $(ARG1) undefined.	Návěstí $(ARG1) nedefinováno.
Unknown data type $(ARG1).	Neznámý datový typ $(ARG1).
Exit $(ARG1) expected.	Očekáván exit $(ARG1).
Statement block still open: $(ARG1) missing.	Blok příkazů je stále otevřen: chybí $(ARG1).
Parentheses do not match.	Závorky nejsou spárované.
Symbol $(ARG1) already defined differently.	Symbol $(ARG1) je již definován odlišně.
Parameters do not correspond to procedure.	Parametry procedury neodpovídají.
Invalid character in number.	Neplatný znak v čísle.
Array must be dimensioned.	Velikost pole musí být určena.
Else/Endif without If.	Else/Endif bez If.
$(ARG1) not allowed within a procedure.	$(ARG1) není povolen v proceduře.
$(ARG1) not allowed outside a procedure.	$(ARG1) není povolen vně procedury.
Dimension specifications do not match.	Nesouhlasí zadání velikosti pole.
Unknown option: $(ARG1).	Neznámá volba: $(ARG1).
Constant $(ARG1) redefined.	Konstanta $(ARG1) předefinována.
Program too large.	Program je příliš rozsáhlý.
Strings or arrays not permitted.	Řetězce nebo pole nejsou povoleny.
An exception occurred $(ARG1).	Vyskytla se výjimka $(ARG1).
This array is fixed or temporarily locked.	Toto pole má pevnou délku nebo je dočasně uzamčeno.
Out of string space.	Nedostatek místa pro řetězec.
Expression Too Complex.	Příliš složitý výraz.
Can't perform requested operation.	Nelze provést požadovanou operaci.
Too many DLL application clients.	Příliš mnoho klientských DLL aplikací.
For loop not initialized.	Smyčka for není inicializovaná.
$(ARG1)	$(ARG1)
On	Zapnout
Off	Vypnout
True	Pravda
False	Nepravda
@0.00 $;@(0.00 $)	@0.00 $;@(0.00 $)
The macro running has been interrupted	Běžící makro bylo přerušeno
Bar	Kvádr
Cylinder	Válec
Cone	Kužel
Pyramid	Jehlan
Chart Wizard	Průvodce grafy
Smooth Lines	Vyhlazené spojnice
Stepped Lines	Stupňové spojnice
Chart Type	Typ grafu
Data Range	Oblast dat
Chart Elements	Prvky grafu
Line	Čára
Borders	Ohraničení
Area	Oblast
Transparency	Průhlednost
Font	Písmo
Font Effects	Efekty pro písmo
Numbers	Čísla
Position	Umístění
Layout	Rozvržení
Scale	Měřítko
Positioning	Umístění
X Error Bars	Chybové úsečky X
Y Error Bars	Chybové úsečky Y
Alignment	Zarovnání
Perspective	Perspektiva
Appearance	Vzhled
Illumination	Osvětlení
Asian Typography	Asijská typografie
Mean value line with value %AVERAGEVALUE and standard deviation %STDDEVIATION	Přímka střední hodnoty s hodnotou %AVERAGEVALUE a směrodatnou odchylkou %STDDEVIATION
Axis	Osa
X Axis	Osa X
Y Axis	Osa Y
Z Axis	Osa Z
Secondary X Axis	Vedlejší osa X
Secondary Y Axis	Vedlejší osa Y
Axes	Osy
Grids	Mřížky
Grid	Mřížka
X Axis Major Grid	Hlavní mřížka osy X
Y Axis Major Grid	Hlavní mřížka osy Y
Z Axis Major Grid	Hlavní mřížka osy Z
X Axis Minor Grid	Vedlejší mřížka osy X
Y Axis Minor Grid	Vedlejší mřížka osy Y
Z Axis Minor Grid	Vedlejší mřížka osy Z
Legend	Legenda
Title	Popis
Titles	Popisy
Main Title	Hlavní nadpis
Subtitle	Podnadpis
X Axis Title	Popis osy X
Y Axis Title	Popis osy Y
Z Axis Title	Popis osy Z
Secondary X Axis Title	Popis vedlejší osy X
Secondary Y Axis Title	Popis vedlejší osy Y
Label	Popisek
Data Labels	Popisky dat
Data Point	Datový bod
Data Points	Datové body
Legend Key	Klíč legendy
Data Series	Datová řada
Data Series	Datové řady
Trend Line	Spojnice trendu
Trend Lines	Spojnice trendu
Trend line %FORMULA with accuracy R² = %RSQUARED	Spojnice trendu %FORMULA s přesností R² = %RSQUARED
Moving average trend line with period = %PERIOD	Spojnice trendu klouzavého průměru pro období = %PERIOD
Mean Value Line	Přímka střední hodnoty
Equation	Rovnice
Z Error Bars	Chybové úsečky Z
Stock Loss	Akciová ztráta
Stock Gain	Akciový zisk
Chart Area	Plocha grafu
Chart	Graf
Chart Wall	Stěna grafu
Chart Floor	Pata grafu
Drawing Object	Objekt kresby
Data Series '%SERIESNAME'	Datová řada '%SERIESNAME'
Data Point %POINTNUMBER	Datový bod %POINTNUMBER
Values: %POINTVALUES	Hodnoty: %POINTVALUES
Data Point %POINTNUMBER, data series %SERIESNUMBER, values: %POINTVALUES	Datový bod %POINTNUMBER, datová řada %SERIESNUMBER, hodnoty: %POINTVALUES
Data point %POINTNUMBER in data series %SERIESNUMBER selected, values: %POINTVALUES	Vybrán datový bod %POINTNUMBER v datové řadě %SERIESNUMBER, hodnoty: %POINTVALUES
%OBJECTNAME selected	Vybrán %OBJECTNAME
Pie exploded by %PERCENTVALUE percent	Koláč rozšířen o %PERCENTVALUE procent
%OBJECTNAME for Data Series '%SERIESNAME'	%OBJECTNAME pro datovou řadu '%SERIESNAME'
%OBJECTNAME for all Data Series	%OBJECTNAME pro všechny datové řady
Edit chart type	Upravit typ grafu
Edit data ranges	Upravit oblasti dat
Edit 3D view	Upravit 3D pohled
Edit chart data	Upravit data grafu
Legend on/off	Legenda zap/vyp
Horizontal grid major/major&minor/off	Vodorovná mřížka hlavní/obě/vyp
Vertical grid major/major&minor/off	Svislá mřížka hlavní/obě/vyp
Scale Text	Měřítko textu
Automatic Layout	Automatické rozvržení
This function cannot be completed with the selected objects.	Tuto funkci nelze provést s vybranými objekty.
Edit text	Upravit text
Name	Název
X-Values	Hodnoty X
Y-Values	Hodnoty Y
Bubble Sizes	Velikost bublin
X-Error-Bars	Chybové úsečky X
Positive X-Error-Bars	Kladné chybové úsečky X
Negative X-Error-Bars	Záporné chybové úsečky X
Y-Error-Bars	Chybové úsečky Y
Positive Y-Error-Bars	Kladné chybové úsečky Y
Negative Y-Error-Bars	Záporné chybové úsečky Y
Open Values	Počáteční hodnoty
Close Values	Koncové hodnoty
Low Values	Nejnižší hodnoty
High Values	Nejvyšší hodnoty
Categories	Kategorie
Series	Řada
Series%NUMBER	Řada %NUMBER
Select Range for %VALUETYPE of %SERIESNAME	Vyberte oblast pro %VALUETYPE %SERIESNAME
Select Range for Categories	Vyberte oblast pro kategorie
Select Range for data labels	Vyberte oblast pro popisky dat
Left-to-right	Zleva doprava
Right-to-left	Zprava doleva
Use superordinate object settings	Použít nastavení nadřazeného objektu
Fill Color	Barva výplně
Border Color	Barva ohraničení
From Data Table	Z tabulky dat
Linear	Lineární
Logarithmic	Logaritmická
Exponential	Exponenciální
Power	Mocninná
Polynomial	Polynomická
Moving average	Klouzavý průměr
Mean	Průměrová
Column	Sloupcový
Bar	Řádkový
Area	Plošný
Pie	Výsečový
Exploded Pie Chart	Rozložený výsečový
Exploded Donut Chart	Rozložený prstencový
Donut	Prstencový
Line	Čárový
XY (Scatter)	XY (bodový)
Points and Lines	Body a čáry
Points Only	Pouze body
Lines Only	Pouze čáry
3D Lines	3D čáry
Column and Line	Sloupcový s čarami
Columns and Lines	Sloupce a čáry
Stacked Columns and Lines	Skládané sloupce a čáry
Net	Paprskový
Stock	Burzovní
Stock Chart 1	Minimum-maximum-závěr
Stock Chart 2	Zahájení-miminum-maximum-závěr
Stock Chart 3	Objem-minimum-maximum-závěr
Stock Chart 4	Objem-zahájení-minimum-maximum-závěr
Normal	Běžný
Stacked	Skládaný
Percent Stacked	Skládaný (procenta)
Deep	Prostorový
Filled	S výplní
Bubble	Bublinový
Bubble Chart	Bublinový
Numbers are required. Check your input.	Jsou vyžadována čísla. Zkontrolujte vstup.
The major interval requires a positive number. Check your input.	Hlavní interval vyžaduje kladné číslo. Zkontrolujte vstup.
The logarithmic scale requires positive numbers. Check your input.	Logaritmické měřítko vyžaduje kladná čísla. Zkontrolujte vstup.
The minimum must be lower than the maximum. Check your input.	Minimum musí být menší než maximum. Zkontrolujte vstup.
The major interval needs to be greater than the minor interval. Check your input.	Hlavní interval musí být větší než vedlejší interval. Zkontrolujte svůj vstup.
The major and minor interval need to be greater or equal to the resolution. Check your input.	Hlavní a vedlejší interval musí být větší nebo rovny rozlišení. Zkontrolujte svůj vstup.
3D View	3D pohled
Character	Znak
Data Table	Tabulka dat
Insert Row	Vložit řádek
Inserts a new row below the current row.	Vloží nový řádek pod aktuální řádek.
Insert Series	Vložit řadu
Inserts a new data series after the current column.	Vloží nová data za aktuální sloupec.
Insert Text Column	Vložit textový sloupec
Inserts a new text column after the current column for hierarchical axes descriptions.	Vloží za aktuální sloupec další textový sloupec pro vedlejší popisky os.
Delete Row	Smazat řádek
Deletes the current row. It is not possible to delete the label row.	Odstraní aktuální řádek. Řádek záhlaví není možné odstranit.
Delete Series	Smazat řadu
Deletes the current series or text column. It is not possible to delete the first text column.	Smaže aktuální rozsah dat nebo textový sloupec. Není možné smazat první textový sloupec.
Move Series Left	Posunout řadu vlevo
Switches the current column with its neighbor at the left.	Prohodí aktuální sloupec se sloupcem vlevo.
Move Series Right	Posunout řadu vpravo
Switches the current column with its neighbor at the right.	Prohodí aktuální sloupec se sloupcem vpravo.
Move Row Up	Posunout řádek nahoru
Switches the current row with its neighbor above.	Prohodí aktuální řádek s řádkem nad ním.
Move Row Down	Posunout řádek dolů
Switches the current row with its neighbor below.	Prohodí aktuální řádek s řádkem pod ním.
Opens the Data Table dialog where you can edit the chart data.	Otevře dialogové okno Tabulka dat, ve kterém můžete upravit data grafu.
Data Ranges	Oblasti dat
Data Labels for all Data Series	Popisky dat pro všechny datové řady
Value as number	Hodnota jako číslo
Displays the absolute values of the data points.	Zobrazí absolutní hodnoty datových bodů.
Value as percentage	Hodnota jako procento
Displays the percentage of the data points in each column.	Zobrazí procentuální hodnoty datových bodů v každém sloupci.
Category	Kategorie
Shows the data point text labels.	Zobrazí popisky datových bodů.
Legend key	Klíč legendy
Displays the legend icons next to each data point label.	Zobrazí vedle každé popisky datového bodu ikonu z legendy.
Auto text wrap	Automaticky zalomit text
Number format...	Formát čísla...
Opens a dialog to select the number format.	Otevře dialogové okno pro výběr formátu čísla.
Percentage format...	Formát procenta...
Opens a dialog to select the percentage format.	Otevře dialogové okno pro výběr formátu procent.
ABCD	ABCD
Number Format for Percentage Value	Formát čísla pro procentuální hodnotu
Series name	Název řady
Shows the data series name in the label.	Zobrazí v popisku název datové řady.
Text Attributes	Vlastnosti textu
Placement	Umístění
Best fit	Nejlepší umístění
Center	Na střed
Above	Nad
Top left	Vlevo nahoru
Left	Vlevo
Bottom left	Vlevo dolů
Below	Pod
Bottom right	Vpravo dolů
Right	Vpravo
Top right	Vpravo nahoru
Inside	Dovnitř
Outside	Vně
Near origin	Poblíž počátku
Selects the placement of data labels relative to the objects.	Vybere relativní umístění popisků dat v objektu.
Separator	Oddělovač
Space	Mezera
Comma	Čárka
Semicolon	Středník
New line	Nový řádek
Period	Tečka
Selects the separator between multiple text strings for the same object.	Vybere oddělovač mezi vícenásobnými textovými řetězci ve stejném objektu.
Attribute Options	Možnosti atributu
Click in the dial to set the text orientation for the data labels.	Otočení popisků dat nastavíte klepnutím na požadované místo kruhové stupnice.
Enter the counterclockwise rotation angle for the data labels.	Zadejte pro popisky dat úhel otočení orientovaný proti směru hodinových ručiček.
Degrees	stupňů
Text direction	Směr textu
Rotate Text	Otočit text
Connect displaced data labels to data points	Spojit posunuté popisky dat s datovými body
Draws a line connecting the data labels to the data points	Nakreslí čáru spojující popisky dat s datovými body
Leader Lines	Spojovací čáry
Opens the Data Labels dialog, which enables you to set the data labels.	Otevře dialog Popisky dat, který umožňuje nastavení popisků dat.
None	Žádná
Does not show any error bars.	Nezobrazí žádné chybové úsečky.
Constant Value	Konstantní hodnota
Displays constant values that you specify in the Parameters area.	Zobrazí konstantní hodnoty, které určíte v oblasti Parametry.
Percentage	Procentuálně
Select a function to calculate the error bars.	Vyberte funkci pro výpočet chybových úseček.
Standard Error	Standardní chyba
Standard Deviation	Směrodatná odchylka
Variance	Rozptyl
Error Margin	Hranice chyby
Cell Range	Oblast buněk
Error Category	Chybová kategorie
Positive and Negative	Kladné a záporné
Shows positive and negative error bars.	Zobrazí kladné a záporné chybové úsečky.
Positive	Kladné
Shows only positive error bars.	Zobrazí kladné chybové úsečky.
Negative	Záporné
Shows only negative error bars.	Zobrazí pouze záporné chybové úsečky.
Error Indicator	Ukazatel chyby
Positive (+)	Kladné (+)
Enter the value to add to the displayed value as the positive error value.	Vložte hodnotu pro přičtení k zobrazené hodnotě jako kladnou chybovou hodnotu.
Select data range	Vyberte oblast dat
Negative (-)	Záporné (-)
Enter the value to subtract from the displayed value as the negative error value.	Vložte hodnotu pro odečtení od zobrazené hodnoty jako zápornou chybovou hodnotu.
Same value for both	Stejná hodnota pro obě
Parameters	Parametry
Select Range for Positive Error Bars	Vyberte oblast pro kladné chybové úsečky
Select Range for Negative Error Bars	Vyberte oblast pro záporné chybové úsečky
Display legend	Zobrazit legendu
Top	Nahoře
Bottom	Dole
X axis	Osa X
Displays the X axis as a line with subdivisions.	Zobrazí osu X s podružným rozdělením.
Y axis	Osa Y
Displays the Y axis as a line with subdivisions.	Zobrazí osu Y s podružným rozdělením.
Z axis	Osa Z
Displays the Z axis as a line with subdivisions.	Zobrazí osu Z s podružným rozdělením.
Displays a secondary X axis in the chart.	Zobrazí v grafu vedlejší osu X.
Secondary Axes	Vedlejší osy
Specifies the axes to be displayed in the chart.	Určuje, které osy mají být v grafu zobrazeny.
Adds gridlines to the X axis of the chart.	Přidá do grafu mřížku osy X.
Adds gridlines to the Y axis of the chart.	Přidá do grafu mřížku osy Y.
Adds gridlines to the Z axis of the chart.	Přidá do grafu mřížku osy Z.
Major Grids	Hlavní mřížky
Adds gridlines that subdivide the X axis into smaller sections.	Přidá mřížku, která rozdělí osu X na menší části.
Adds gridlines that subdivide the Y axis into smaller sections.	Přidá mřížku, která rozdělí osu Y na menší části.
Adds gridlines that subdivide the Z axis into smaller sections.	Přidá mřížku, která rozdělí osu Z na menší části.
Minor Grids	Vedlejší mřížky
Title	Nadpis
Enter the desired title for the chart.	Zadejte požadovaný nadpis grafu.
Enter the desired subtitle for the chart.	Zadejte požadovaný podnadpis grafu.
Enter the desired title for the X axis of the chart.	Zadejte požadovaný popis pro osu X grafu.
